Наименование,Продавец,Цена_raw,Рейтинг,Дата_первого_отзыва,Ссылка,Текст_отзыва,len_review
Название не найдено,Не найден,34 095 ₽,4.9,7 октября 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a56-rostest-eac-8-256-gb-cherno-seryy-1991056174/,"Samsung Смартфон Galaxy A56 Ростест (EAC) 8/256 ГБ, черно-серый || Симпатичный, в руке лежит удобно.
Брали на замену модели А36, на подарок бабушке. Перенос приложений и информации с ее телефона прошел без проблем. || Телефон пришёл на 2 дня раньше. Заявленные параметры соответствуют действительности. Всё, как в описании. Всё отлично. Рекомендую.",348
"Poco Смартфон Poco X7 Pro Смартфон NFC с диагональю экрана 8400-Ultra 6,67 "" AMOLED-дисплеем с разрешением 1,5K Flow емкостью 6000 мАч EU 8/256 ГБ, зеленый",Dragon-X Store,41 395 ₽,4.9,9 февраля 2025,https://www.ozon.ru/product/poco-smartfon-poco-x7-pro-smartfon-nfc-s-diagonalyu-ekrana-8400-ultra-6-67-amoled-displeem-s-1821434293/,"Poco Смартфон Poco X7 Pro Смартфон NFC с диагональю экрана 8400-Ultra 6,67 "" AMOLED-дисплеем с разрешением 1,5K Flow емкостью 6000 мАч EU 8/256 ГБ, зеленый || Краткая предыстория. Почти 2 года пользовался POCO X3 PRO, для моих потребностей хватало вполне (интернет, мессенджеры, изредка игры). Ближайшее время менять не планировал, хотя обычно раз в год менял телефон, для небольшого разнообразия. Однако, подвел акум телефона, стандартно разряжался до 20%, а потом заряд таял просто поминутно, даже при полном... || Доставка до пункта выдачи в Москве 11 дней. Упаковка без следов вскрытия, телефон доставлен без повреждений. Качество изготовления отличное, настраивается легко особенно если вы уже ранее пользовались телефонами от xiaomi. Характеристики соответствуют описанию, работает шустро. Для базовых задач интернет, музыка, фильмы, онлайн сервисы, магазины данной...",874
"vivo Смартфон Смартфон Vivo Y93 Ростест (EAC) 6/128 ГБ, черный, черный матовый",DHS Shop,3 436 ₽,4.3,28 ноября 2025,https://www.ozon.ru/product/vivo-smartfon-smartfon-vivo-y93-rostest-eac-6-128-gb-chernyy-chernyy-matovyy-2358974398/,"vivo Смартфон Смартфон Vivo Y93 Ростест (EAC) 6/128 ГБ, черный, черный матовый || Хороший тедефон. Один минус. вацап не устанавливается. Мне это не критично || Пользователь предпочёл скрыть свои данные",201
"Samsung Смартфон Samsung Galaxy A16 4G NFC 50Мп Тройная основная камера Батарея 5000 мАч 6,7 дюйма 90Гц AMOLED Экран Лучшая водозащита IP54 8/256 ГБ, бирюзовый",Электех,14 836 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-samsung-galaxy-a16-4g-nfc-50mp-troynaya-osnovnaya-kamera-batareya-5000-mach-6-1809468491/,"Samsung Смартфон Samsung Galaxy A16 4G NFC 50Мп Тройная основная камера Батарея 5000 мАч 6,7 дюйма 90Гц AMOLED Экран Лучшая водозащита IP54 8/256 ГБ, бирюзовый || Шустрый, быстрый, отличная камера. Брала в подарок ребенку, все понравилось. В комплект лучше сразу докупить зарядку. || телефон пришёл целый , по качеству за такую цену хороший.",341
"Honor Смартфон HONOR x7d Ростест (EAC) 6/128 ГБ, серый",E-lectronix,10 584 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/honor-smartfon-honor-x7d-rostest-eac-6-128-gb-seryy-2974382151/,"Honor Смартфон HONOR x7d Ростест (EAC) 6/128 ГБ, серый || Заказал очередной телефон. Видео снял, посмотрите и делайте выводы покупать вам или нет. Всем спасибо || был упакован в озоновский пакет.. наклейки целые.. работает все в порядке.. для работы самый оптимальный вариант",275
"Samsung Смартфон Galaxy A07 Ростест (EAC) 6/128 ГБ, черно-серый",Samsung - фирменный...,11 441 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a07-rostest-eac-6-128-gb-cherno-seryy-2805605024/,"Samsung Смартфон Galaxy A07 Ростест (EAC) 6/128 ГБ, черно-серый || упаковано хорошо, пломба заводская на месте, пока не открывал,отзыв позже. Заочно 5 звёзд, надеюсь,что всё будет отлично, спасибо || Доставка-отлично.Смартфон понравился.Был А01",244
"VEDYARTI Смартфон I15 Pro Max, В качестве подарка родным и близким Ростест (EAC) 12/512 ГБ, белый",VEDYARTI,7 375 ₽,4.9,15 мая 2025,https://www.ozon.ru/product/vedyarti-smartfon-i15-pro-max-v-kachestve-podarka-rodnym-i-blizkim-rostest-eac-12-512-gb-belyy-2024718697/,"VEDYARTI Смартфон I15 Pro Max, В качестве подарка родным и близким Ростест (EAC) 12/512 ГБ, белый || Сначала я купил чехол для мобильного телефона, а затем купил чехол для мобильного телефона.Хотя продавец подарил мне чехол для мобильного телефона, но!Телефон отличный!Обычно трудно купить хороший мобильный телефон по такой цене, но я нашел его. Этот мобильный телефон делает снимки очень четко, процесс использования очень плавный и не заедает, а батарея... || Приехал телефон упакован в плёнку, без доп защиты, коробка чуть помятая. Первое впечатление норм. Посмотрим в работе. Дополню отзыв позже после использования.",621
"Honor Смартфон 400 Ростест (EAC) 12/512 ГБ, белый",E-lectronix,34 456 ₽,4.9,2 декабря 2025,https://www.ozon.ru/product/honor-smartfon-400-rostest-eac-12-512-gb-belyy-2864488360/,"Honor Смартфон 400 Ростест (EAC) 12/512 ГБ, белый || приехал вовремя, все соответствует, все работает || Смартфон пришёл в срок, в коробке, все запечатано и в пленке. Пока тестирую, но вцелом своей покупкой я очень довольна. Был Хонор 20 view стал хонор 400)) разница ощутима, камера классная, есть в ней разные режимы в том числе живое фото. Смартфон очень приятный и эргономичный.",382
"Tecno Смартфон POVA 7 5G Ростест (EAC) 8/128 ГБ, розовый",Ozon Россия,15 999 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-pova-7-5g-rostest-eac-8-128-gb-rozovyy-2942115027/,"Tecno Смартфон POVA 7 5G Ростест (EAC) 8/128 ГБ, розовый || Пользователь предпочёл скрыть свои данные || Очень понравилось как сработали и продавец и озон быстро икачественно",174
"Honor Смартфон 400 5G, 6,55"" 120 Гц AMOLED с разрешением 5000 нит, основная камера OIS+ EIS AI с разрешением 200 Мп, 6000 мАч, 80 Вт, Snapdragon 7 поколения 3 Global 12/512 ГБ, кремовый, светло-желтый",ПервыйИгрок,38 859 ₽,4.9,5 декабря 2025,https://www.ozon.ru/product/honor-smartfon-400-5g-6-55-120-gts-amoled-s-razresheniem-5000-nit-osnovnaya-kamera-ois-eis-ai-s-2792382715/,"Honor Смартфон 400 5G, 6,55"" 120 Гц AMOLED с разрешением 5000 нит, основная камера OIS+ EIS AI с разрешением 200 Мп, 6000 мАч, 80 Вт, Snapdragon 7 поколения 3 Global 12/512 ГБ, кремовый, светло-желтый || Телефон получил. Все работает. Ожидание оправдал. || шикарный телефон за свои деньги, качество упаковки тоже на высшем уровне. пришло довольно быстро, даже раньше ожидаемого срока.",384
"Samsung Смартфон Galaxy S21 (SM-G991N 1SIM) 8/256 ГБ, серый",SAMSUNG DISCOUNT SH...,17 243 ₽,4.7,1 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-s21-sm-g991n-1sim-8-256-gb-seryy-1199186901/,"Samsung Смартфон Galaxy S21 (SM-G991N 1SIM) 8/256 ГБ, серый || Телефон хороший, целый, в использовании пока сказать не могу, т к это подарок. Немного огорчила комплектация, смотря на отзывы думала будет повербанк, наушники в придачу, но уже при получении внимательно посмотрела на картинку, и увидела, что этого увы, больше не прилагается. || отличный телефон производство ветнам все работает, в комплект положили зарядные устройства проводное и беспроводное, прозрачный чехол и зашитную плёнку. доставка точно в срок ни дня раньше ни дня позже ... спасибо заказала дочери на новый год поэтому полностью не проверяла... но включила все работает ...",648
"Meizu Смартфон Note 21 Pro Ростест (EAC) 8/256 ГБ, белый",Ozon Россия,7 999 ₽,4.8,7 декабря 2025,https://www.ozon.ru/product/meizu-smartfon-note-21-pro-rostest-eac-8-256-gb-belyy-2769801742/,"Meizu Смартфон Note 21 Pro Ростест (EAC) 8/256 ГБ, белый || Довольно не плохо для телефона за эту цену. Хороший аппарат как второй телефон для работы или ребенку. || не много задержали и сын остался без подарка на день рождения (заказ от 3 числа пришел 6 хотя было написанно завтра )от меня ну ладно пришел целым уже хорошо сын доволен",335
"HUAWEI Смартфон nova 14 Pro 12ГБ + 512ГБ Черный Ростест (EAC) 12/512 ГБ, черный",Epicenter Huawei St...,39 979 ₽,4.9,12 ноября 2025,https://www.ozon.ru/product/huawei-smartfon-nova-14-pro-12gb-512gb-chernyy-rostest-eac-12-512-gb-chernyy-2916847890/,"HUAWEI Смартфон nova 14 Pro 12ГБ + 512ГБ Черный Ростест (EAC) 12/512 ГБ, черный || Начну немного издалека.
Уже не в том возрасте, чтобы захватывало дух из-за нового телефона. От него нужно просто чтобы: - ну и далее по списку. Сидел года 4 на Huawei P30 pro - просто из-за того, что нужен был android auto, другие - более свежие - телефоны huawei его не позволяли, а это - мог. Но будучи в очередной раз в одном из магазинов техники узнал... || Отличный сервис. Все пришло вовремя. Гаджет полностью соответствует всем заявленным характеристикам.",545
"realme Смартфон 15T Ростест (EAC) 8/256 ГБ, темно-серый",Ozon Россия,23 999 ₽,4.6,29 ноября 2025,https://www.ozon.ru/product/realme-smartfon-15t-rostest-eac-8-256-gb-temno-seryy-2921233137/,"realme Смартфон 15T Ростест (EAC) 8/256 ГБ, темно-серый || в прошлом был realme 10, но даже после него 15t вызвал восторг!! || телефон хороший. брали ребёнку на подарок. наушники не пришли.",189
"Samsung Смартфон Galaxy A17 Ростест (EAC) 6/128 ГБ, серый",Samsung - фирменный...,15 496 ₽,5.0,7 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a17-rostest-eac-6-128-gb-seryy-2810567257/,"Samsung Смартфон Galaxy A17 Ростест (EAC) 6/128 ГБ, серый || привезли вовремя. повреждений нет, пломбы не вскрыты. телефон по качеству и функционалу соответствует заявленным. || Телефоном пользуюсь неделю,пока все хорошо.Были проблемы с переносом информации со старого телефона на этот,так и не поняла каким чудом у меня это вышло.Экран яркий,не тупит,музыка громко играет,часы и наушники быстро подключила.Вобщем пока довольна,надеюсь на долгую работу .",454
"Honor Смартфон 400 Global 12/256 ГБ, черный",HONOR Direct Россия,29 793 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/honor-smartfon-400-global-12-256-gb-chernyy-2588101339/,"Honor Смартфон 400 Global 12/256 ГБ, черный || большое спасибо, всё пришло в целости. положили переходник. || отличный телефон, цена ниже рынка, спасибо!!!",155
"Blackview Смартфон Blackview PILOT 1Helio G81 6,67-дюймовый экран 90 Гц 6 ГБ RAM+256 ГБ ROM камера 32 Мп+50 Мп 15000 мАч зарядка 33 Вт Global 6/256 ГБ, черный",Blackview Oscal Autho...,12 063 ₽,4.9,2 декабря 2025,https://www.ozon.ru/product/blackview-smartfon-blackview-pilot-1helio-g81-6-67-dyuymovyy-ekran-90-gts-6-gb-ram-256-gb-rom-kamera-2071151406/,"Blackview Смартфон Blackview PILOT 1Helio G81 6,67-дюймовый экран 90 Гц 6 ГБ RAM+256 ГБ ROM камера 32 Мп+50 Мп 15000 мАч зарядка 33 Вт Global 6/256 ГБ, черный || Телефон отличный. Заряд держит хорошо. При активном использовании - 3 дня железно работает. Вес... Он тяжёлый, да, но привыкаешь быстро. Интерфейс шустрый, картинка и углы обзора экрана хорошие. Фонарик - отдельная крутая вещь. Приехал примерно в указанный срок. Заметил, что оптимально работает только со своим родным зарядником и кабелем. Сторонние... || Пользователь предпочёл скрыть свои данные",560
"Xiaomi Смартфон Xiaomi Redmi Note 14S MediaTek Helio G99-Ultra Дисплей для ухода за глазами с частотой 120 Гц емкостью 5000 мАч Global 12/512 ГБ, синий",Phone Global Store,17 339 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-xiaomi-redmi-note-14s-mediatek-helio-g99-ultra-displey-dlya-uhoda-za-glazami-1939880951/,"Xiaomi Смартфон Xiaomi Redmi Note 14S MediaTek Helio G99-Ultra Дисплей для ухода за глазами с частотой 120 Гц емкостью 5000 мАч Global 12/512 ГБ, синий || телефон работает, обновился, доставка как положено, мне нравится, детям не даю играть, им экран и звук нравится || Всё работает, упакован хорошо. С доставкой, задержка",322
"Tecno Смартфон Camon 40 Pro 5G 12/256 ГБ, белый",Ozon Россия,23 784 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-camon-40-pro-5g-12-256-gb-belyy-2156744084/,"Tecno Смартфон Camon 40 Pro 5G 12/256 ГБ, белый || хороший товар рекомендую 👍 фото делает хорошо,как ночью так и в днем,видео тоже снимает отлично особенно в днём,фото прилагаю,заряд держится весь день || полностью комплектация, в рабочем состоянии, красивый удобен в руке, как прослужит посмотрим",297
"Poco Смартфон POCO F7 Snapdragon® 8s поколения 4 от массивным AMOLED-дисплеем емкостью 6500 мАч диагональю 6,83 дюйма, разрешением 1,5 Кбит/с и частотой 120 Гц EU 12/512 ГБ, черный",Phone Global Store,29 067 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-f7-snapdragon-8s-pokoleniya-4-ot-massivnym-amoled-displeem-emkostyu-6500-mach-2451252692/,"Poco Смартфон POCO F7 Snapdragon® 8s поколения 4 от массивным AMOLED-дисплеем емкостью 6500 мАч диагональю 6,83 дюйма, разрешением 1,5 Кбит/с и частотой 120 Гц EU 12/512 ГБ, черный || Телефон понравился мощный хороший мне понравился. Цена тоже понравилась. || Пришел на 4 дня раньше указанного срока. Телефон хороший, скорость скачивания из интернета раза в 4 увеличилась. Голосовая связь хорошая. На этом телефоне встроен второй динамик, звук стерео на высоте. Однозначно стоит брать эту модель. Своих денег стоит!",515
"HUAWEI Смартфон Global 8/256 ГБ, черный",FATIAN,17 747 ₽,4.7,24 сентября 2025,https://www.ozon.ru/product/huawei-smartfon-global-8-256-gb-chernyy-1824210655/,"Телефон норм. Все работает , снимает , заряжает как положено. 5 звезд. Продавец выше всех похвал. Рекомендую. || Все отлично, все работает 👍
обновился до последней версии прошивки. придётся долго обновлять сразу предупреждаю. сперва обновите операционную системы прежде чем накачивать приложения.

Дополню, через пару недель перестал работать микрофон, работал только на громкой связи. но все равно я доволен. || отличный телефон. Не глобал, были установлены сервисы Яндекс.
Продавец заранее согласовал замену на белый. Пришёл в Барнаул примерно за месяц",554
"Xiaomi Смартфон Redmi Turbo 4 Pro (CN), Snapdragon 8s Gen4, поддерживает только английский и китайский языки, 6.83 дюйма, 7550 мАч, водонепроницаемость IP68, поддерживает обновление OTA + Google Play CN 12/256 ГБ, черный",Technology Kingdom,22 050 ₽,4.9,26 ноября 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-turbo-4-pro-cn-snapdragon-8s-gen4-podderzhivaet-tolko-angliyskiy-i-kitayskiy-2087487638/,"Xiaomi Смартфон Redmi Turbo 4 Pro (CN), Snapdragon 8s Gen4, поддерживает только английский и китайский языки, 6.83 дюйма, 7550 мАч, водонепроницаемость IP68, поддерживает обновление OTA + Google Play CN 12/256 ГБ, черный || Отличный телефон! Дизайн стильный, а в руке лежит очень удобно. Камера делает потрясающие снимки, особенно при хорошем освещении. Батарея держит заряд весь день даже при активном использовании. Единственный минус — иногда греется при запуске тяжёлых игр, но в целом, это лучшее соотношение цены и качества на рынке. Рекомендую! || смартфон пушка
недостаток неполная русификация
все приложения скаченные из гугл сторе все решают. все предустановленное на китайском.",688
"Samsung Смартфон Galaxy S25 FE Ростест (EAC) 8/512 ГБ, белый",Ozon Россия,51 999 ₽,8.0,7 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-s25-fe-rostest-eac-8-512-gb-belyy-2776582812/,"Samsung Смартфон Galaxy S25 FE Ростест (EAC) 8/512 ГБ, белый || быстро пришел. Пломбы не вскрыты. Работает) || визуально отлично,не вскрытый,оригинальный,дальше видно будет.",173
"Xiaomi Смартфон Redmi 15 Ростест (EAC) 8/256 ГБ, черный",Smart#Fon,16 953 ₽,4.9,5 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-15-rostest-eac-8-256-gb-chernyy-2762798399/,"Xiaomi Смартфон Redmi 15 Ростест (EAC) 8/256 ГБ, черный || Телефон понравился, зарядка быстрая 35 W, что очень важно. Ёмкость аккумулятора 7000мАч, будет долго держать заряд. Камеры неплохие. Пришёл достаточно быстро, хорошо упакован, всё аккуратно. || всей семьёй пользуемся телефонами xiaomi redmi. в этот раз обновили телефон дочери данной моделью редми 13. камера хорошая, яркие чёткие фотографии, яркий экран, легкий по весу (некоторые модели тяжёлые). в комплекте есть чехол силиконовый, зарядка быстрая, и наклеена транспортировочная пленка. все быстро настроили. пришёл в срок.",585
"Poco Смартфон X7 , поддержка русского языка Google Play NFC,глобальная версия Global 12/512 ГБ, салатовый",XiaoМи Global Store,19 510 ₽,4.9,11 октября 2025,https://www.ozon.ru/product/poco-smartfon-x7-podderzhka-russkogo-yazyka-google-play-nfc-globalnaya-versiya-global-12-512-2615539419/,"Poco Смартфон X7 , поддержка русского языка Google Play NFC,глобальная версия Global 12/512 ГБ, салатовый || Пользователь предпочёл скрыть свои данные || Всем приветик))) Нужен был бюджетный и необычный смартфон, такой как не у всех. Пользуюсь Poco F7 уже пару недель — впечатления только положительные! 👍 Смартфон летает — процессор Snapdragon 8s Gen 4 справляется со всем, без зависаний и перегрева. Экран просто шикарный, красочный — 6,83 дюйма, AMOLED, 120 Гц. Отдельно хочу выделить батарею 6500...",503
"Смартфон Magic 6 Pro Ростест (EAC) 16/1 ТБ, зеленый",SPARK Store,7 866 ₽,3.9,7 декабря 2025,https://www.ozon.ru/product/smartfon-magic-6-pro-rostest-eac-16-1-tb-zelenyy-3085720955/,"Смартфон Magic 6 Pro Ростест (EAC) 16/1 ТБ, зеленый || Товар пришел с опозданием на 1 день. Телефон работает. Все есть в упаковке. С установкой русской клавиатуры помучился немного, пришлось установить яндекс клавиатуру. Теперь проблема с сим картой теле2. Совершать, принимать звонки получается, а чтобы зарегистрировать приложение или мессенджер не приходит смс с потверждением. Так то компактный, снимки... || Фотография телефона к сожелению нет, так как покупали на подарок . Что могу сказать , телефон отличный, поставщик молодец, хорошо упаковал. Качественный суперский телефон, яркий экран все работает (летает)",618
"Xiaomi Смартфон Redmi 15C Global 8/256 ГБ, черный",MI Технический цент...,10 786 ₽,5.0,30 ноября 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-15c-global-8-256-gb-chernyy-2981530196/,"Xiaomi Смартфон Redmi 15C Global 8/256 ГБ, черный || На первый взгляд смартфон отличный за 9050 || Телефон хороший, за эту цену просто Огонь) Многие в отзывах жаловались на тихий звук- ничего подобного. Вероятно была такая проблема (возможно), но я после получения телефона сразу же обновил все что можно (в октябре вышло обновление безопасности Андроид), там стоит усиление звука на 200 проц, как опция...В итоге телефон, по сравнению с моим предыдущим...",456
"Meizu Смартфон Mblu 21 Ростест (EAC) 6/128 ГБ, белый",Ozon Россия,4 990 ₽,4.8,7 декабря 2025,https://www.ozon.ru/product/meizu-smartfon-mblu-21-rostest-eac-6-128-gb-belyy-2265897576/,"Meizu Смартфон Mblu 21 Ростест (EAC) 6/128 ГБ, белый || В оригинальной упаковке. Абсолютно новый, комплектный, рабочий телефон. Meizu больше не глючные дрова, а вполне заправская аутентичная лопата с шустрой производительностью. || супер, в комплекте чехол, пленка, всё отлично упаковано, пришёл быстро на следующий день. в работе ещё не пробовали, напишу позже. спасибо продавцу.",380
Восстановленный Apple Смартфон iPhone 5s 64 ГБ,big sale,2 764 ₽,4.3,7 декабря 2025,https://www.ozon.ru/product/vosstanovlennyy-apple-smartfon-iphone-5s-64-gb-2568216114/,"Восстановленный Apple Смартфон iPhone 5s 64 ГБ || Все четко, удивлен что отпечаток работает || Телефон в целом очень хороший, мне очень понравился. У меня впервые эта операционная система но я быстро разобралась, видосы посмотрела как правильно пользоваться айфоном. Он у меня не лагает, был только один лаг в тиктоке, а так вообще плавный. Я этот телефон однозначно рекомендую, не секунды не жалею о том что приобрела его. Ах да, тач айди работает...",451
"Poco Смартфон M7 Ростест (EAC) 6/128 ГБ, черный",Ozon Россия,11 741 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/poco-smartfon-m7-rostest-eac-6-128-gb-chernyy-2676883286/,"Poco Смартфон M7 Ростест (EAC) 6/128 ГБ, черный || хороший телефон.пока нареканий в работе нет || Пользователь предпочёл скрыть свои данные",139
"Tecno Смартфон Spark Go 1 Ростест (EAC) 4/64 ГБ, черный",Sotomania,8 057 ₽,4.8,28 ноября 2025,https://www.ozon.ru/product/tecno-smartfon-spark-go-1-rostest-eac-4-64-gb-chernyy-1699325068/,"Tecno Смартфон Spark Go 1 Ростест (EAC) 4/64 ГБ, черный || телефон хороший, в основном не для игр, надеюсь будет долго работать || Неплохой телефон. И качество изображения, и звук, и камера отличные. Купили для ребёнка, как первый телефон. Самое то👍",249
"IIIF150 Смартфон B3 Pro 5G, 32 ГБ (16 + 16) 512 ГБ, 100 МП, 10800 мАч, NFC，IP68/69K 16/512 ГБ, черный матовый",IIIF150 Flagship St...,16 777 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/iiif150-smartfon-b3-pro-5g-32-gb-16-16-512-gb-100-mp-10800-mach-nfc-ip68-69k-16-512-gb-2164981896/,"IIIF150 Смартфон B3 Pro 5G, 32 ГБ (16 + 16) 512 ГБ, 100 МП, 10800 мАч, NFC，IP68/69K 16/512 ГБ, черный матовый || Хороший телефон,пользуюсь пару дней, пока всё устраивает.

По скорости работы точно быстрее моего прошлого ми 10Т про, а это на минутку флагман, хоть и старенький, фото не прям конечно ""ВАУ"",но достойно.

Заряд держит два дня, но это нужно ещё раскачать аккумулятор, полностью разрядить и зарядить и так раза три хотя бы, дальше будет яснее что и как... || Пользователь предпочёл скрыть свои данные",511
"Honor Смартфон X7c Ростест (EAC) 8/128 ГБ, черный",СМАРТ-РУ,12 004 ₽,4.8,19 октября 2025,https://www.ozon.ru/product/honor-smartfon-x7c-rostest-eac-8-128-gb-chernyy-2680139181/,"Honor Смартфон X7c Ростест (EAC) 8/128 ГБ, черный || Телефон неплохой, после 3 дней тестирования есть некоторые вопросы.... 
1.Камера основная( задняя) заявлено 108 Мп. При проверке программа Alda 64 выдаёт 12Мп. Камера фронтальная как и заявлено 8Мп.
 2.Блютуз заялено версия 5.0.... По факту 4+
3.память 105.1Гб объем внутреннего хранилища,вместо 128 заявленных.
4.батарея 5200мА. программа подтверждает... || Пользователь предпочёл скрыть свои данные",453
"Doogee Смартфон DOOGEE Blade20 Max 36 ГБ 1 ТБ Helio G100 11800 мАч 6,6 дюйма 120 Гц Global 12/1 ТБ, серебристый",DOOGEE Official Sto...,17 778 ₽,4.8,6 ноября 2025,https://www.ozon.ru/product/doogee-smartfon-doogee-blade20-max-36-gb-1-tb-helio-g100-11800-mach-6-6-dyuyma-120-gts-global-12-1-2670530599/,"Doogee Смартфон DOOGEE Blade20 Max 36 ГБ 1 ТБ Helio G100 11800 мАч 6,6 дюйма 120 Гц Global 12/1 ТБ, серебристый || Пользователь предпочёл скрыть свои данные || Отличный смартфон по отличной цене, очень понравилась камера,звук, быстродействие, рекомендую к покупке!",264
"Blackview Смартфон 6.78"" TANK 1 Смартфон, Oscal Doke AI, 5G, Android 15, 20000 мАч, 120 Гц, 2.4K, СТЕПЕНЬ защиты IP68 - IP69K+MIL-STD-810H+UL94,двухлучевой фонарик мощност 16/512 ГБ, черный",Blackview Official ...,23 686 ₽,4.9,14 ноября 2025,https://www.ozon.ru/product/blackview-smartfon-6-78-tank-1-smartfon-oscal-doke-ai-5g-android-15-20000-mach-120-gts-2-4k-stepen-2775643740/,"Blackview Смартфон 6.78"" TANK 1 Смартфон, Oscal Doke AI, 5G, Android 15, 20000 мАч, 120 Гц, 2.4K, СТЕПЕНЬ защиты IP68 - IP69K+MIL-STD-810H+UL94,двухлучевой фонарик мощност 16/512 ГБ, черный || Интересный телефон) Покупали мужу, он доволен! Очень большой и увесистый. Работает быстро, заряд держит с покупки уже несколько дней активного использования. || отличный смартфон для крупного мужика смартфон довольно тяжёлый,но привыкаешь, сразу берите кобуру или напрямую сумку, карман не выдержит, по функционалу все отлично, летает",527
"Poco Смартфон M7 Ростест (EAC) 6/128 ГБ, серебристый",Ozon Россия,12 433 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/poco-smartfon-m7-rostest-eac-6-128-gb-serebristyy-2676882699/,"Poco Смартфон M7 Ростест (EAC) 6/128 ГБ, серебристый || хороший телефон.пока нареканий в работе нет || Пользователь предпочёл скрыть свои данные",144
"Xiaomi Смартфон Redmi 15C Global 8/256 ГБ, черный",Xiaomi Authorized S...,9 184 ₽,4.7,23 ноября 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-15c-global-8-256-gb-chernyy-3005502487/,"Xiaomi Смартфон Redmi 15C Global 8/256 ГБ, черный || Пришел вовремя, все отлично упаковано. Смартфон полностью соответствует заявленным характеристикам. || Пришёл вовремя и отлично упакованный. Надеюсь будет хорошо работать.",224
"Honor Смартфон X7c Ростест (EAC) 6/128 ГБ, черный",Ozon Россия,11 627 ₽,4.9,3 декабря 2025,https://www.ozon.ru/product/honor-smartfon-x7c-rostest-eac-6-128-gb-chernyy-1845248800/,"Honor Смартфон X7c Ростест (EAC) 6/128 ГБ, черный || Такой красивый цвет👍 Заказала дочке, осталась довольна дизайном данной модели. Камера отличная, изображения четкие, звук качественный. Рекомендую к покупке ☺ || Телефон пришёл целый, все супер, разрешение камеры, звук, яркость и четкость картинки. Муж остался доволен. В видео все показано. Рекомендую.",355
"Poco Смартфон Poco X7 Pro Смартфон NFC с диагональю экрана 8400-Ultra 6,67 "" AMOLED-дисплеем с разрешением 1,5K Flow емкостью 6000 мАч EU 12/512 ГБ, желтый, черный",Phone Global Store,43 038 ₽,4.9,3 сентября 2025,https://www.ozon.ru/product/poco-smartfon-poco-x7-pro-smartfon-nfc-s-diagonalyu-ekrana-8400-ultra-6-67-amoled-displeem-1821437715/,"Poco Смартфон Poco X7 Pro Смартфон NFC с диагональю экрана 8400-Ultra 6,67 "" AMOLED-дисплеем с разрешением 1,5K Flow емкостью 6000 мАч EU 12/512 ГБ, желтый, черный || Стоит каждый свой рубль. Нету не одного смартфона, который хоть чуть-чуть приблизился бы к этой модели по характеристикам, комплекту и т.д.
Не без минусов естественно. Скорее все эти минусы в настройках телефона. Из-за того что не все работает как нужно, все нужно настраивать и много что отключать, чтобы телефон был автономный.
У меня полные 120 герц... || ещё не открывал но все было хорошо запаковано.",572
"Poco Смартфон POCO X7 Pro Глобальная версия Dimensity 8400-Ultra 1,5 К 120 Гц AMOLED-дисплей поддерживает русский язык 12/512 ГБ, темно-коричневый",Webuy,24 363 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-x7-pro-globalnaya-versiya-dimensity-8400-ultra-1-5-k-120-gts-amoled-displey-2894400126/,"Poco Смартфон POCO X7 Pro Глобальная версия Dimensity 8400-Ultra 1,5 К 120 Гц AMOLED-дисплей поддерживает русский язык 12/512 ГБ, темно-коричневый || Доставили в срок,упаковка на отлично.неделю работает на отлично! || Очень доволен товаром. Боялся заказывать, но доставка отличная, пришёл целый, без каких-либо дефектов. Качество картинки идеальное, производительность на высшем уровне.",386
